timezone,label
Pacific/Honolulu,Hawaii (HST)
America/Los_Angeles,Pacific Time (PT)
America/Denver,Mountain Time (MT)
America/Chicago,Central Time (CT)
America/New_York,Eastern Time (ET)
America/Sao_Paulo,São Paulo (BRT)
Europe/London,London (GMT/BST)
Europe/Paris,Central Europe (CET)
Europe/Berlin,Berlin (CET)
Asia/Dubai,Dubai (GST)
Asia/Kolkata,India (IST)
Asia/Singapore,Singapore (SGT)
Asia/Manila,Philippines (PHT)
Asia/Tokyo,Japan (JST)
Asia/Seoul,Korea (KST)
Australia/Sydney,Sydney (AEST)
Pacific/Auckland,New Zealand (NZST)
UTC,UTC
